,date,state,fips,cases,deaths
19099,2021-02-13,Alabama,1,479856,9242
19154,2021-02-14,Alabama,1,480931,9242
19209,2021-02-15,Alabama,1,481605,9244
19264,2021-02-16,Alabama,1,482488,9257
19319,2021-02-17,Alabama,1,483167,9346
19374,2021-02-18,Alabama,1,484365,9424
19429,2021-02-19,Alabama,1,485212,9573
19484,2021-02-20,Alabama,1,485986,9590
19539,2021-02-21,Alabama,1,486843,9592
19594,2021-02-22,Alabama,1,487520,9592
19649,2021-02-23,Alabama,1,488973,9660
19704,2021-02-24,Alabama,1,490220,9744
19759,2021-02-25,Alabama,1,491110,9831
19814,2021-02-26,Alabama,1,491849,9869
19869,2021-02-27,Alabama,1,492683,9930
19924,2021-02-28,Alabama,1,493252,9929
19979,2021-03-01,Alabama,1,493769,9931
20034,2021-03-02,Alabama,1,494421,9991
20089,2021-03-03,Alabama,1,497154,10029
20144,2021-03-04,Alabama,1,498076,10094
20199,2021-03-05,Alabama,1,498887,10122
20254,2021-03-06,Alabama,1,499411,10149
20309,2021-03-07,Alabama,1,499819,10148
20364,2021-03-08,Alabama,1,500092,10148
20419,2021-03-09,Alabama,1,500616,10186
20474,2021-03-10,Alabama,1,501398,10222
20529,2021-03-11,Alabama,1,502263,10274
20584,2021-03-12,Alabama,1,502711,10299
20639,2021-03-13,Alabama,1,503305,10327
20694,2021-03-14,Alabama,1,503673,10327
20749,2021-03-15,Alabama,1,508229,10329
20804,2021-03-16,Alabama,1,508717,10337
20859,2021-03-17,Alabama,1,509476,10363
20914,2021-03-18,Alabama,1,510048,10391
20969,2021-03-19,Alabama,1,510579,10425
21024,2021-03-20,Alabama,1,511087,10436
21079,2021-03-21,Alabama,1,511460,10436
21134,2021-03-22,Alabama,1,511779,10436
21189,2021-03-23,Alabama,1,511789,10450
21244,2021-03-24,Alabama,1,512711,10487
21299,2021-03-25,Alabama,1,513138,10504
21354,2021-03-26,Alabama,1,513580,10523
21409,2021-03-27,Alabama,1,514072,10526
21464,2021-03-28,Alabama,1,514391,10526
21519,2021-03-29,Alabama,1,514619,10526
21574,2021-03-30,Alabama,1,514980,10527
21629,2021-03-31,Alabama,1,515388,10554
21684,2021-04-01,Alabama,1,515866,10553
21739,2021-04-02,Alabama,1,516266,10607
21794,2021-04-03,Alabama,1,516615,10637
21849,2021-04-04,Alabama,1,516809,10637
21904,2021-04-05,Alabama,1,516918,10638
21959,2021-04-06,Alabama,1,517114,10652
22014,2021-04-07,Alabama,1,517452,10652
22069,2021-04-08,Alabama,1,517916,10675
22124,2021-04-09,Alabama,1,518234,10686
22179,2021-04-10,Alabama,1,518588,10712
22234,2021-04-11,Alabama,1,518899,10712
22289,2021-04-12,Alabama,1,519071,10712
22344,2021-04-13,Alabama,1,520503,10722
22399,2021-04-14,Alabama,1,520780,10728
22454,2021-04-15,Alabama,1,521201,10736
22509,2021-04-16,Alabama,1,521623,10739
22564,2021-04-17,Alabama,1,522131,10790
22619,2021-04-18,Alabama,1,522401,10790
22674,2021-04-19,Alabama,1,522512,10790
22729,2021-04-20,Alabama,1,523955,10798
22784,2021-04-21,Alabama,1,524367,10807
22839,2021-04-22,Alabama,1,525049,10824
22894,2021-04-23,Alabama,1,525477,10840
22949,2021-04-24,Alabama,1,525898,10851
23004,2021-04-25,Alabama,1,526131,10851
23059,2021-04-26,Alabama,1,526348,10852
23114,2021-04-27,Alabama,1,526707,10854
23169,2021-04-28,Alabama,1,527083,10879
