,Unnamed: 0_x,date,state,fips,cases,deaths,WoW_%_cases,Unnamed: 0_x,n_vaccinated_people,n_at_least_one_dose,percent_at_least_one_dose,n_fully_vaccinated,Series_Complete_Pop_Pct,code,Unnamed: 0_y,population,unvaxxed,WoW_%_vax,date_minus_n,Unnamed: 0_y,2020 Election Winner,dem_percent,rep_percent,winning_share,State Code,SVI,SVI Bucket,Population Vax Level,winning_share_rd,rep_percent_rd,dem_percent_rd
131,26689,2021-07-01,Alabama,1,550983,11352,0.0028922776732181275,8253,3461449,1962745,40.0,1601802,32.7,AL,1,4817528.0,2890516.8,0.011532125205930806,2021-07-01,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
132,26744,2021-07-02,Alabama,1,551298,11358,0.002480297635716286,8231,3461852,1962952,40.0,1602022,32.7,AL,1,4817528.0,2890516.8,0.011532125205930806,2021-07-02,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
133,26799,2021-07-03,Alabama,1,551298,11358,0.002480297635716286,8152,3478940,1969834,40.2,1612803,32.9,AL,1,4817528.0,2880881.744,0.013201320132013335,2021-07-03,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
134,26854,2021-07-04,Alabama,1,551298,11358,0.002480297635716286,8105,3479177,1969971,40.2,1612913,32.9,AL,1,4817528.0,2880881.744,0.009933774834437107,2021-07-04,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
135,26909,2021-07-05,Alabama,1,551298,11358,0.001538738234647589,8008,3489630,1976302,40.3,1617556,33.0,AL,1,4817528.0,2876064.216,0.009950248756218928,2021-07-05,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
136,26964,2021-07-06,Alabama,1,551298,11358,0.001538738234647589,7975,3489695,1976343,40.3,1617584,33.0,AL,1,4817528.0,2876064.216,0.008305647840531765,2021-07-06,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
137,27019,2021-07-07,Alabama,1,552911,11387,0.0034992005197982514,7851,3494241,1978951,40.4,1619647,33.0,AL,1,4817528.0,2871246.6880000005,0.008319467554076263,2021-07-07,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
138,27074,2021-07-08,Alabama,1,552911,11387,0.0034992005197982514,7837,3500615,1982250,40.4,1623114,33.1,AL,1,4817528.0,2871246.6880000005,0.006666666666666413,2021-07-08,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
139,27129,2021-07-09,Alabama,1,554071,11398,0.0050299475057047184,7748,3506888,1985582,40.5,1626323,33.2,AL,1,4817528.0,2866429.1599999997,0.008333333333333378,2021-07-09,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
140,27184,2021-07-10,Alabama,1,554605,11402,0.005998570646002706,7685,3513398,1988956,40.6,1629745,33.2,AL,1,4817528.0,2861611.6319999998,0.0066889632107024095,2021-07-10,13,Republican,36.60%,62.00%,62.00%,AL,0.6145939914565737,High to Very High,Roughly 40.0%,60.0,60.0,35.0
