,STNAME,CTYNAME,POPESTIMATE2019
0,Alabama,Alabama,4903185
1,Alabama,Autauga County,55869
2,Alabama,Baldwin County,223234
3,Alabama,Barbour County,24686
4,Alabama,Bibb County,22394
5,Alabama,Blount County,57826
6,Alabama,Bullock County,10101
7,Alabama,Butler County,19448
8,Alabama,Calhoun County,113605
9,Alabama,Chambers County,33254
10,Alabama,Cherokee County,26196
11,Alabama,Chilton County,44428
12,Alabama,Choctaw County,12589
13,Alabama,Clarke County,23622
14,Alabama,Clay County,13235
15,Alabama,Cleburne County,14910
16,Alabama,Coffee County,52342
17,Alabama,Colbert County,55241
18,Alabama,Conecuh County,12067
19,Alabama,Coosa County,10663
20,Alabama,Covington County,37049
21,Alabama,Crenshaw County,13772
22,Alabama,Cullman County,83768
23,Alabama,Dale County,49172
24,Alabama,Dallas County,37196
25,Alabama,DeKalb County,71513
26,Alabama,Elmore County,81209
27,Alabama,Escambia County,36633
28,Alabama,Etowah County,102268
29,Alabama,Fayette County,16302
30,Alabama,Franklin County,31362
31,Alabama,Geneva County,26271
32,Alabama,Greene County,8111
33,Alabama,Hale County,14651
34,Alabama,Henry County,17205
35,Alabama,Houston County,105882
36,Alabama,Jackson County,51626
37,Alabama,Jefferson County,658573
38,Alabama,Lamar County,13805
39,Alabama,Lauderdale County,92729
40,Alabama,Lawrence County,32924
41,Alabama,Lee County,164542
42,Alabama,Limestone County,98915
43,Alabama,Lowndes County,9726
44,Alabama,Macon County,18068
45,Alabama,Madison County,372909
46,Alabama,Marengo County,18863
47,Alabama,Marion County,29709
48,Alabama,Marshall County,96774
49,Alabama,Mobile County,413210
50,Alabama,Monroe County,20733
51,Alabama,Montgomery County,226486
52,Alabama,Morgan County,119679
53,Alabama,Perry County,8923
54,Alabama,Pickens County,19930
55,Alabama,Pike County,33114
56,Alabama,Randolph County,22722
57,Alabama,Russell County,57961
58,Alabama,St. Clair County,89512
59,Alabama,Shelby County,217702
60,Alabama,Sumter County,12427
61,Alabama,Talladega County,79978
62,Alabama,Tallapoosa County,40367
63,Alabama,Tuscaloosa County,209355
64,Alabama,Walker County,63521
65,Alabama,Washington County,16326
66,Alabama,Wilcox County,10373
67,Alabama,Winston County,23629
68,Alaska,Alaska,731545
69,Alaska,Aleutians East Borough,3337
70,Alaska,Aleutians West Census Area,5634
71,Alaska,Anchorage Municipality,288000
72,Alaska,Bethel Census Area,18386
73,Alaska,Bristol Bay Borough,836
74,Alaska,Denali Borough,2097
75,Alaska,Dillingham Census Area,4916
76,Alaska,Fairbanks North Star Borough,96849
77,Alaska,Haines Borough,2530
78,Alaska,Hoonah-Angoon Census Area,2148
79,Alaska,Juneau City and Borough,31974
80,Alaska,Kenai Peninsula Borough,58708
81,Alaska,Ketchikan Gateway Borough,13901
82,Alaska,Kodiak Island Borough,12998
83,Alaska,Kusilvak Census Area,8314
84,Alaska,Lake and Peninsula Borough,1592
85,Alaska,Matanuska-Susitna Borough,108317
86,Alaska,Nome Census Area,10004
87,Alaska,North Slope Borough,9832
88,Alaska,Northwest Arctic Borough,7621
89,Alaska,Petersburg Borough,3266
90,Alaska,Prince of Wales-Hyder Census Area,6203
91,Alaska,Sitka City and Borough,8493
92,Alaska,Skagway Municipality,1183
93,Alaska,Southeast Fairbanks Census Area,6893
94,Alaska,Valdez-Cordova Census Area,9202
95,Alaska,Wrangell City and Borough,2502
96,Alaska,Yakutat City and Borough,579
97,Alaska,Yukon-Koyukuk Census Area,5230
98,Arizona,Arizona,7278717
99,Arizona,Apache County,71887
100,Arizona,Cochise County,125922
101,Arizona,Coconino County,143476
102,Arizona,Gila County,54018
103,Arizona,Graham County,38837
104,Arizona,Greenlee County,9498
105,Arizona,La Paz County,21108
106,Arizona,Maricopa County,4485414
107,Arizona,Mohave County,212181
108,Arizona,Navajo County,110924
109,Arizona,Pima County,1047279
110,Arizona,Pinal County,462789
111,Arizona,Santa Cruz County,46498
112,Arizona,Yavapai County,235099
113,Arizona,Yuma County,213787
114,Arkansas,Arkansas,3017804
115,Arkansas,Arkansas County,17486
116,Arkansas,Ashley County,19657
117,Arkansas,Baxter County,41932
118,Arkansas,Benton County,279141
119,Arkansas,Boone County,37432
120,Arkansas,Bradley County,10763
121,Arkansas,Calhoun County,5189
122,Arkansas,Carroll County,28380
123,Arkansas,Chicot County,10118
124,Arkansas,Clark County,22320
125,Arkansas,Clay County,14551
126,Arkansas,Cleburne County,24919
127,Arkansas,Cleveland County,7956
128,Arkansas,Columbia County,23457
129,Arkansas,Conway County,20846
130,Arkansas,Craighead County,110332
131,Arkansas,Crawford County,63257
132,Arkansas,Crittenden County,47955
133,Arkansas,Cross County,16419
134,Arkansas,Dallas County,7009
135,Arkansas,Desha County,11361
136,Arkansas,Drew County,18219
137,Arkansas,Faulkner County,126007
138,Arkansas,Franklin County,17715
139,Arkansas,Fulton County,12477
140,Arkansas,Garland County,99386
141,Arkansas,Grant County,18265
142,Arkansas,Greene County,45325
143,Arkansas,Hempstead County,21532
144,Arkansas,Hot Spring County,33771
145,Arkansas,Howard County,13202
146,Arkansas,Independence County,37825
147,Arkansas,Izard County,13629
148,Arkansas,Jackson County,16719
149,Arkansas,Jefferson County,66824
150,Arkansas,Johnson County,26578
151,Arkansas,Lafayette County,6624
152,Arkansas,Lawrence County,16406
153,Arkansas,Lee County,8857
154,Arkansas,Lincoln County,13024
155,Arkansas,Little River County,12259
156,Arkansas,Logan County,21466
157,Arkansas,Lonoke County,73309
158,Arkansas,Madison County,16576
