,state,called,dem_percent,rep_percent,winning_share
0,Arizona,D,49.40%,49.10%,49.40%
1,Florida,R,47.90%,51.20%,51.20%
2,Georgia,D,49.50%,49.30%,49.50%
3,Iowa,R,44.90%,53.10%,53.10%
4,Michigan,D,50.60%,47.80%,50.60%
5,Minnesota,D,52.40%,45.30%,52.40%
6,Nevada,D,50.10%,47.70%,50.10%
7,New Hampshire,D,52.70%,45.40%,52.70%
8,North Carolina,R,48.60%,49.90%,49.90%
9,Ohio,R,45.20%,53.30%,53.30%
10,Pennsylvania,D,50.00%,48.80%,50.00%
11,Texas,R,46.50%,52.10%,52.10%
12,Wisconsin,D,49.40%,48.80%,49.40%
13,Alabama,R,36.60%,62.00%,62.00%
14,Alaska,R,42.80%,52.80%,52.80%
15,Arkansas,R,34.80%,62.40%,62.40%
16,California,D,63.50%,34.30%,63.50%
17,Colorado,D,55.40%,41.90%,55.40%
18,Connecticut,D,59.30%,39.20%,59.30%
19,Delaware,D,58.70%,39.80%,58.70%
20,District of Columbia,D,92.10%,5.40%,92.10%
21,Hawaii,D,63.70%,34.30%,63.70%
22,Idaho,R,33.10%,63.90%,63.90%
23,Illinois,D,57.50%,40.60%,57.50%
24,Indiana,R,41.00%,57.00%,57.00%
25,Kansas,R,41.60%,56.20%,56.20%
26,Kentucky,R,36.20%,62.10%,62.10%
27,Louisiana,R,39.90%,58.50%,58.50%
28,Maine,D,53.10%,44.00%,53.10%
29,Maryland,D,65.40%,32.20%,65.40%
30,Massachusetts,D,65.60%,32.10%,65.60%
31,Mississippi,R,41.10%,57.60%,57.60%
32,Missouri,R,41.40%,56.80%,56.80%
33,Montana,R,40.50%,56.90%,56.90%
34,Nebraska,R,39.40%,58.50%,58.50%
35,Nebraska,R,41.30%,56.30%,56.30%
36,New Jersey,D,57.30%,41.40%,57.30%
37,New Mexico,D,54.30%,43.50%,54.30%
38,New York,D,60.90%,37.70%,60.90%
39,North Dakota,R,31.80%,65.10%,65.10%
40,Oklahoma,R,32.30%,65.40%,65.40%
41,Oregon,D,56.50%,40.40%,56.50%
42,Rhode Island,D,59.40%,38.60%,59.40%
43,South Carolina,R,43.40%,55.10%,55.10%
44,South Dakota,R,35.60%,61.80%,61.80%
45,Tennessee,R,37.50%,60.70%,60.70%
46,Utah,R,37.60%,58.10%,58.10%
47,Vermont,D,66.10%,30.70%,66.10%
48,Virginia,D,54.10%,44.00%,54.10%
49,Washington,D,58.00%,38.80%,58.00%
50,West Virginia,R,29.70%,68.60%,68.60%
51,Wyoming,R,26.60%,69.90%,69.90%
