,state/region,population
1,AL,4817528.0
95,AK,730307.0
97,AZ,6551149.0
191,AR,2949828.0
193,CA,37999878.0
287,CO,5189458.0
289,CT,3591765.0
383,DE,917053.0
385,DC,633427.0
479,FL,19320749.0
480,GA,9915646.0
575,HI,1390090.0
576,ID,1595590.0
671,IL,12868192.0
672,IN,6537782.0
767,IA,3075039.0
768,KS,2885398.0
863,KY,4379730.0
864,LA,4602134.0
959,ME,1328501.0
960,MD,5884868.0
1055,MA,6645303.0
1056,MI,9882519.0
1151,MN,5379646.0
1152,MS,2986450.0
1247,MO,6024522.0
1248,MT,1005494.0
1343,NE,1855350.0
1344,NV,2754354.0
1439,NH,1321617.0
1440,NJ,8867749.0
1535,NM,2083540.0
1536,NY,19576125.0
1631,NC,9748364.0
1632,ND,701345.0
1727,OH,11553031.0
1728,OK,3815780.0
1823,OR,3899801.0
1824,PA,12764475.0
1919,RI,1050304.0
1920,SC,4723417.0
2015,SD,834047.0
2016,TN,6454914.0
2111,TX,26060796.0
2112,UT,2854871.0
2207,VT,625953.0
2208,VA,8186628.0
2303,WA,6895318.0
2304,WV,1856680.0
2399,WI,5724554.0
2400,WY,576626.0
2495,PR,3651545.0
2543,USA,313873685.0
