,County Name,Social Vulnerability Index (SVI),State Code
0,"Tallapoosa County, Alabama",0.89,AL
1,"Talladega County, Alabama",0.87,AL
2,"Wilcox County, Alabama",0.93,AL
3,"Washington County, Alabama",0.73,AL
4,"Winston County, Alabama",0.7,AL
5,"Walker County, Alabama",0.75,AL
6,"Aleutians East Borough, Alaska",0.58,AK
7,"Aleutians West Census Area, Alaska",0.49,AK
8,"Tuscaloosa County, Alabama",0.63,AL
9,"Bethel Census Area, Alaska",0.97,AK
10,"Jenkins County, Georgia",0.83,GA
11,"Johnson County, Georgia",0.91,GA
12,"Jasper County, Georgia",0.69,GA
13,"Jeff Davis County, Georgia",0.94,GA
14,"Jones County, Georgia",0.38,GA
15,"Jefferson County, Georgia",0.94,GA
16,"Worth County, Georgia",0.74,GA
17,"Wayne County, Georgia",0.92,GA
18,"Hawaii County, Hawaii",0.58,HI
19,"Washington County, Georgia",0.95,GA
20,"Whitfield County, Georgia",0.88,GA
21,"White County, Georgia",0.24,GA
22,"Wilcox County, Georgia",0.82,GA
23,"Honolulu County, Hawaii",0.47,HI
24,"Wheeler County, Georgia",0.81,GA
25,"Wilkes County, Georgia",0.76,GA
26,"Kalawao County, Hawaii",0.32,HI
27,"Webster County, Georgia",0.79,GA
28,"Wilkinson County, Georgia",0.79,GA
29,"Butler County, Kentucky",0.79,KY
30,"Carroll County, Kentucky",0.89,KY
31,"Boyle County, Kentucky",0.43,KY
32,"Clay County, Kentucky",0.91,KY
33,"Carter County, Kentucky",0.82,KY
34,"Caldwell County, Kentucky",0.5,KY
35,"Calloway County, Kentucky",0.5,KY
36,"Boyd County, Kentucky",0.69,KY
37,"Clark County, Kentucky",0.61,KY
38,"Waldo County, Maine",0.22,ME
39,"Bristol County, Massachusetts",0.52,MA
40,"Suffolk County, Massachusetts",0.74,MA
41,"Worcester County, Massachusetts",0.41,MA
42,"Allegan County, Michigan",0.18,MI
43,"Alcona County, Michigan",0.26,MI
44,"Alger County, Michigan",0.45,MI
45,"Barry County, Michigan",0.09,MI
46,"Baraga County, Michigan",0.66,MI
47,"Arenac County, Michigan",0.51,MI
48,"Bay County, Michigan",0.44,MI
49,"Clare County, Michigan",0.77,MI
50,"Cass County, Michigan",0.33,MI
51,"Clinton County, Michigan",0.04,MI
52,"Eaton County, Michigan",0.31,MI
53,"Dickinson County, Michigan",0.23,MI
54,"Gogebic County, Michigan",0.4,MI
55,"Charlevoix County, Michigan",0.1,MI
56,"Gladwin County, Michigan",0.54,MI
57,"Delta County, Michigan",0.35,MI
58,"Cheboygan County, Michigan",0.29,MI
59,"Grand Traverse County, Michigan",0.18,MI
60,"Genesee County, Michigan",0.66,MI
61,"Chippewa County, Michigan",0.72,MI
62,"Crawford County, Michigan",0.37,MI
63,"Emmet County, Michigan",0.14,MI
64,"Lake County, Michigan",0.78,MI
65,"Lapeer County, Michigan",0.24,MI
66,"Kent County, Michigan",0.48,MI
67,"Lenawee County, Michigan",0.41,MI
