,Date,Location,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct
0,2021-12-30,WV,2481826,1109524,61.9,986688,55.1
1,2021-12-30,NY,34257536,16343955,84.0,13961789,71.8
2,2021-12-30,ME,2519706,1154119,85.9,1019209,75.8
3,2021-12-30,KS,4172025,2018861,69.3,1661170,57.0
4,2021-12-30,WI,9089358,3972346,68.2,3607515,62.0
5,2021-12-30,ND,989265,474165,62.2,400490,52.6
6,2021-12-30,CO,9488670,4293859,74.6,3813580,66.2
7,2021-12-30,IH2,2018874,1025800,49.3,817836,39.3
8,2021-12-30,DC,1205792,624472,88.5,476822,67.6
9,2021-12-30,MO,8010785,3826276,62.3,3254448,53.0
10,2021-12-30,OR,6827931,3121766,74.0,2802741,66.5
11,2021-12-30,RP,37282,18765,87.1,16532,76.8
12,2021-12-30,MN,9139948,4028046,71.4,3689641,65.4
13,2021-12-30,SD,1270983,627309,70.9,505031,57.1
14,2021-12-30,IL,19945811,9118884,72.0,8114639,64.0
15,2021-12-30,CT,6650975,3159344,88.6,2659830,74.6
16,2021-12-30,FL,33247311,16001140,74.5,13607439,63.4
17,2021-12-30,NV,4272366,2140842,69.5,1738587,56.4
18,2021-12-30,WY,682133,323245,55.9,275046,47.5
19,2021-12-30,NE,2863676,1284092,66.4,1157774,59.9
20,2021-12-30,VA,14409181,6740349,79.0,5800214,68.0
21,2021-12-30,US,507657980,243527564,73.3,205811394,62.0
22,2021-12-30,BP2,278537,135495,0.0,128198,0.0
23,2021-12-30,UT,4478829,2160299,67.4,1885083,58.8
24,2021-12-30,RI,2042611,942667,89.0,809908,76.5
25,2021-12-30,KY,5918711,2790371,62.5,2422138,54.2
26,2021-12-30,OH,15805670,7065757,60.4,6457896,55.2
27,2021-12-30,MD,10514076,4863660,80.4,4256109,70.4
28,2021-12-30,AL,5711932,2868764,58.5,2335344,47.6
29,2021-12-30,DD2,6883746,3837275,0.0,2871719,0.0
30,2021-12-30,AZ,10279281,4898570,67.3,4149298,57.0
31,2021-12-30,TN,8739150,4010333,58.7,3507440,51.4
32,2021-12-30,FM,84836,48766,47.7,43132,42.2
33,2021-12-30,MI,14217370,6337587,63.5,5673450,56.8
34,2021-12-30,IN,8502249,3897972,57.9,3500787,52.0
35,2021-12-30,VI,127404,63307,59.6,53783,50.6
36,2021-12-30,MS,3410705,1645580,55.3,1430507,48.1
37,2021-12-30,MA,13035139,6247750,90.6,5140101,74.6
38,2021-12-30,AR,3828361,1892791,62.7,1545513,51.2
39,2021-12-30,AS,76128,40254,84.9,32705,69.0
40,2021-12-30,MT,1442617,663198,62.1,577327,54.0
41,2021-12-30,HI,2273627,1249140,88.2,900918,63.6
42,2021-12-30,PR,5914960,2840638,88.9,2459031,77.0
43,2021-12-30,MP,95893,43358,83.6,39878,76.9
44,2021-12-30,VT,1234510,557157,89.3,482925,77.4
45,2021-12-30,WA,12627080,5760712,75.7,5171727,67.9
46,2021-12-30,MH,48093,26082,33.5,22893,29.4
47,2021-12-30,NH,2377420,1335346,95.0,913328,67.2
48,2021-12-30,TX,39449109,19372135,66.8,16517363,57.0
49,2021-12-30,NJ,15369778,7434230,83.7,6261268,70.5
50,2021-12-30,SC,6687153,3231719,62.8,2735224,53.1
51,2021-12-30,LA,5574796,2668008,57.4,2336561,50.3
52,2021-12-30,ID,2034298,931688,52.1,826087,46.2
53,2021-12-30,IA,4616491,2047676,64.9,1860149,59.0
54,2021-12-30,PA,20174454,10015911,78.2,8174643,63.9
55,2021-12-30,NM,3558475,1692585,80.7,1389097,66.2
56,2021-12-30,NC,14762107,8008038,76.4,5951239,56.7
57,2021-12-30,GA,13369619,6505193,61.3,5423280,51.1
58,2021-12-30,CA,65679926,32668832,82.7,26105670,66.1
59,2021-12-30,GU,293505,140875,83.6,127007,75.4
60,2021-12-30,VA2,6946889,3332261,0.0,2910351,0.0
61,2021-12-30,OK,5257021,2612220,66.0,2116382,53.5
62,2021-12-30,AK,1023435,475688,65.0,412110,56.3
63,2021-12-30,DE,1549273,746478,76.7,624808,64.2
64,2021-12-29,GU,292764,140656,83.5,126842,75.3
65,2021-12-29,GA,13331093,6495858,61.2,5416054,51.0
66,2021-12-29,MA,12985902,6235047,90.5,5134522,74.5
67,2021-12-29,RP,37077,18759,87.1,16512,76.7
68,2021-12-29,TN,8714085,4005174,58.6,3503559,51.3
69,2021-12-29,DC,1201431,622859,88.3,476149,67.5
70,2021-12-29,MO,7987491,3820065,62.2,3250910,53.0
71,2021-12-29,NM,3544733,1688933,80.5,1387134,66.2
72,2021-12-29,CO,9455834,4286883,74.4,3808179,66.1
73,2021-12-29,CA,65611295,32641078,82.6,26096979,66.0
74,2021-12-29,NC,14723210,7989236,76.2,5945164,56.7
75,2021-12-29,AS,76128,40254,84.9,32705,69.0
76,2021-12-29,US,506313935,243182423,73.2,205638307,61.9
77,2021-12-29,DE,1544928,745195,76.5,624078,64.1
78,2021-12-29,FL,33151723,15976216,74.4,13592919,63.3
79,2021-12-29,OK,5241447,2606960,65.9,2113666,53.4
80,2021-12-29,BP2,278500,135491,0.0,128193,0.0
81,2021-12-29,RI,2031825,939899,88.7,808574,76.3
82,2021-12-29,MS,3410052,1645297,55.3,1430379,48.1
83,2021-12-29,TX,39326045,19336970,66.7,16497515,56.9
84,2021-12-29,HI,2265203,1243113,87.8,899564,63.5
85,2021-12-29,FM,84206,48370,47.3,43062,42.1
86,2021-12-29,NJ,15319250,7418526,83.5,6255008,70.4
87,2021-12-29,VA,14375216,6731602,78.9,5795304,67.9
88,2021-12-29,CT,6626838,3152616,88.4,2657324,74.5
89,2021-12-29,MD,10476871,4854016,80.3,4251704,70.3
90,2021-12-29,WA,12594758,5754807,75.6,5166725,67.9
91,2021-12-29,KY,5902511,2786566,62.4,2419330,54.2
92,2021-12-29,WY,680468,322765,55.8,274666,47.5
93,2021-12-29,IN,8472904,3891812,57.8,3496980,51.9
94,2021-12-29,AZ,10247180,4889344,67.2,4143590,56.9
95,2021-12-29,KS,4158385,2014961,69.2,1658853,56.9
96,2021-12-29,OH,15749476,7055157,60.4,6450314,55.2
97,2021-12-29,VT,1231792,556579,89.2,482477,77.3
98,2021-12-29,VI,126960,63218,59.5,53690,50.5
99,2021-12-29,IA,4605209,2045625,64.8,1859089,58.9
100,2021-12-29,MN,9115137,4023562,71.3,3685591,65.4
101,2021-12-29,PR,5882820,2833494,88.7,2454330,76.8
102,2021-12-29,OR,6827077,3121313,74.0,2802654,66.4
103,2021-12-29,NH,2373187,1331911,95.0,912933,67.1
104,2021-12-29,VA2,6933927,3328537,0.0,2909624,0.0
105,2021-12-29,IL,20001890,9170703,72.4,8150603,64.3
106,2021-12-29,AL,5696158,2864442,58.4,2332287,47.6
107,2021-12-29,ID,2030119,930790,52.1,825421,46.2
108,2021-12-29,SC,6668586,3226583,62.7,2732115,53.1
109,2021-12-29,WV,2475845,1108121,61.8,985611,55.0
110,2021-12-29,IH2,2013144,1024033,49.2,816465,39.2
111,2021-12-29,MH,48093,26082,33.5,22893,29.4
112,2021-12-29,MI,14175905,6328657,63.4,5666366,56.7
113,2021-12-29,SD,1267745,626244,70.8,504393,57.0
114,2021-12-29,UT,4461589,2156877,67.3,1881846,58.7
115,2021-12-29,AR,3819198,1890672,62.7,1543798,51.2
116,2021-12-29,MP,95893,43358,83.6,39878,76.9
117,2021-12-29,ME,2511544,1152439,85.7,1018227,75.7
118,2021-12-29,DD2,6875359,3831510,0.0,2869014,0.0
119,2021-12-29,WI,9059935,3966632,68.1,3603459,61.9
120,2021-12-29,ND,986923,473530,62.1,399962,52.5
121,2021-12-29,NE,2855502,1282395,66.3,1156352,59.8
122,2021-12-29,PA,20084510,9982981,78.0,8159607,63.7
123,2021-12-29,LA,5557073,2663814,57.3,2333639,50.2
124,2021-12-29,AK,1021408,475192,65.0,411677,56.3
125,2021-12-29,NY,34116758,16300701,83.8,13944523,71.7
126,2021-12-29,NV,4258710,2136803,69.4,1736285,56.4
127,2021-12-29,MT,1439194,662438,62.0,576744,54.0
128,2021-12-28,AK,1019758,474829,64.9,411273,56.2
129,2021-12-28,NJ,15260750,7401603,83.3,6246839,70.3
130,2021-12-28,CO,9430238,4281331,74.3,3803823,66.1
131,2021-12-28,WA,12570691,5750016,75.5,5162803,67.8
132,2021-12-28,RP,36938,18750,87.1,16483,76.6
133,2021-12-28,HI,2253735,1234548,87.2,897852,63.4
134,2021-12-28,GU,292201,140523,83.4,126680,75.2
135,2021-12-28,NM,3535936,1686495,80.4,1385417,66.1
136,2021-12-28,TX,39204755,19304170,66.6,16477194,56.8
137,2021-12-28,FL,33092338,15960050,74.3,13581777,63.2
138,2021-12-28,CT,6610481,3147589,88.3,2655481,74.5
139,2021-12-28,MD,10441511,4846079,80.2,4247470,70.3
140,2021-12-28,IH2,2009191,1022824,49.1,815390,39.1
141,2021-12-28,NV,4249235,2133906,69.3,1734575,56.3
142,2021-12-28,IN,8451350,3887011,57.7,3493947,51.9
143,2021-12-28,ME,2505912,1151474,85.7,1017196,75.7
144,2021-12-28,VA,14354853,6725990,78.8,5792074,67.9
145,2021-12-28,WV,2471461,1107056,61.8,984866,55.0
146,2021-12-28,NC,14695094,7973534,76.0,5940975,56.6
147,2021-12-28,MH,48093,26082,33.5,22893,29.4
148,2021-12-28,MS,3409638,1645114,55.3,1430304,48.1
149,2021-12-28,NY,33981462,16256953,83.6,13927276,71.6
150,2021-12-28,PA,20042015,9967512,77.9,8152152,63.7
151,2021-12-28,AR,3809957,1888054,62.6,1541883,51.1
152,2021-12-28,PR,5882210,2833167,88.7,2454310,76.8
153,2021-12-28,LA,5545398,2661304,57.2,2331679,50.2
154,2021-12-28,BP2,276170,134913,0.0,127896,0.0
155,2021-12-28,AZ,10225370,4883136,67.1,4139183,56.9
156,2021-12-28,UT,4448593,2154230,67.2,1879152,58.6
157,2021-12-28,TN,8696153,4001645,58.6,3500197,51.3
158,2021-12-28,WI,9037702,3962182,68.1,3599742,61.8
159,2021-12-28,OH,15708347,7047421,60.3,6444295,55.1
160,2021-12-28,MO,7970386,3815516,62.2,3247870,52.9
161,2021-12-28,MN,9091052,4019345,71.3,3681735,65.3
162,2021-12-28,AL,5692585,2863485,58.4,2331596,47.6
163,2021-12-28,NH,2369533,1328893,95.0,912615,67.1
164,2021-12-28,CA,65422151,32594083,82.5,26064776,66.0
165,2021-12-28,KS,4149279,2012518,69.1,1656979,56.9
166,2021-12-28,VI,126432,63106,59.4,53605,50.4
167,2021-12-28,MA,12952146,6225717,90.3,5130102,74.4
168,2021-12-28,SD,1264693,625218,70.7,503663,56.9
169,2021-12-28,FM,84201,48368,47.3,43061,42.1
170,2021-12-28,KY,5891245,2783918,62.3,2417132,54.1
171,2021-12-28,VA2,6922671,3325420,0.0,2908946,0.0
172,2021-12-28,GA,13271441,6474122,61.0,5402633,50.9
173,2021-12-28,OR,6813639,3118724,73.9,2800561,66.4
174,2021-12-28,WY,679198,322399,55.7,274405,47.4
175,2021-12-28,US,505013980,242813374,73.1,205420745,61.9
176,2021-12-28,AS,76128,40254,84.9,32705,69.0
177,2021-12-28,DE,1541682,744190,76.4,623483,64.0
178,2021-12-28,ND,985917,473276,62.1,399711,52.5
179,2021-12-28,MP,95434,43270,83.5,39666,76.5
180,2021-12-28,MI,14145208,6322530,63.3,5660716,56.7
181,2021-12-28,SC,6657303,3223321,62.6,2730112,53.0
182,2021-12-28,NE,2849902,1281270,66.2,1155137,59.7
183,2021-12-28,OK,5227671,2602348,65.8,2111056,53.4
184,2021-12-28,IA,4596206,2043803,64.8,1857281,58.9
185,2021-12-28,ID,2026798,930059,52.0,824910,46.2
186,2021-12-28,RI,2025511,938197,88.6,807655,76.2
187,2021-12-28,MT,1436686,661695,61.9,576223,53.9
188,2021-12-28,VT,1230824,556363,89.2,482342,77.3
189,2021-12-28,DD2,6870194,3827728,0.0,2867573,0.0
190,2021-12-28,DC,1199404,621872,88.1,475882,67.4
191,2021-12-28,IL,19939155,9150757,72.2,8137884,64.2
192,2021-12-27,MO,7964155,3813906,62.1,3246323,52.9
193,2021-12-27,US,503480667,242433620,73.0,205196973,61.8
194,2021-12-27,VT,1230173,556048,89.1,482273,77.3
195,2021-12-27,OK,5223769,2600166,65.7,2110365,53.3
196,2021-12-27,LA,5543356,2660752,57.2,2331261,50.1
197,2021-12-27,OH,15563663,7027218,60.1,6425847,55.0
198,2021-12-27,CA,65374554,32579274,82.5,26057029,65.9
199,2021-12-27,NE,2824049,1276571,66.0,1151433,59.5
200,2021-12-27,AK,1013994,473636,64.7,410362,56.1
201,2021-12-27,NY,33894720,16226934,83.4,13914566,71.5
202,2021-12-27,BP2,276158,134912,0.0,127892,0.0
203,2021-12-27,AZ,10220475,4881466,67.1,4138201,56.9
204,2021-12-27,MA,12942437,6222066,90.3,5128926,74.4
205,2021-12-27,IA,4552034,2036105,64.5,1851230,58.7
206,2021-12-27,SD,1258815,623507,70.5,502713,56.8
207,2021-12-27,VI,126309,63065,59.3,53576,50.4
208,2021-12-27,MS,3409217,1644895,55.3,1430211,48.1
209,2021-12-27,NH,2355351,1323771,95.0,911089,67.0
210,2021-12-27,ND,982777,472460,62.0,399138,52.4
211,2021-12-27,MI,14074705,6308784,63.2,5651307,56.6
212,2021-12-27,IH2,2008801,1022698,49.1,815296,39.1
213,2021-12-27,GA,13123591,6442925,60.7,5377928,50.7
214,2021-12-27,SC,6654454,3222184,62.6,2729546,53.0
215,2021-12-27,KS,4108415,2006553,68.9,1652154,56.7
216,2021-12-27,MD,10416774,4840152,80.1,4244013,70.2
217,2021-12-27,ID,2025977,929805,52.0,824779,46.2
218,2021-12-27,PA,19940402,9929676,77.6,8137746,63.6
219,2021-12-27,MT,1432520,660816,61.8,575652,53.9
220,2021-12-27,DE,1537333,742936,76.3,622824,64.0
221,2021-12-27,HI,2250940,1232536,87.1,897408,63.4
222,2021-12-27,NM,3534311,1685949,80.4,1385111,66.1
223,2021-12-27,TX,39128246,19282639,66.5,16462911,56.8
224,2021-12-27,CT,6605403,3145556,88.2,2654965,74.5
225,2021-12-27,IN,8447282,3885754,57.7,3493319,51.9
226,2021-12-27,TN,8658667,3994409,58.5,3494733,51.2
227,2021-12-27,AS,75923,40242,84.9,32552,68.7
228,2021-12-27,FL,32904525,15915591,74.1,13555645,63.1
229,2021-12-27,WY,676834,321856,55.6,273926,47.3
230,2021-12-27,AL,5679687,2860243,58.3,2328730,47.5
231,2021-12-27,WA,12504618,5738449,75.4,5155027,67.7
232,2021-12-27,ME,2491866,1149103,85.5,1015680,75.6
233,2021-12-27,RI,2015537,933738,88.1,806191,76.1
234,2021-12-27,AR,3804482,1886623,62.5,1540871,51.1
235,2021-12-27,MP,94271,43072,83.1,39248,75.7
236,2021-12-27,GU,292197,140521,83.4,126680,75.2
237,2021-12-27,NV,4238365,2130458,69.2,1732764,56.3
238,2021-12-27,FM,84201,48368,47.3,43061,42.1
239,2021-12-27,KY,5888381,2783065,62.3,2416497,54.1
240,2021-12-27,MN,9046293,4012137,71.1,3676059,65.2
241,2021-12-27,DC,1198400,621269,88.0,475774,67.4
242,2021-12-27,WV,2464025,1105443,61.7,983692,54.9
243,2021-12-27,NC,14676656,7961806,75.9,5937748,56.6
244,2021-12-27,PR,5836124,2822213,88.4,2448240,76.7
245,2021-12-27,IL,19924847,9144908,72.2,8135687,64.2
246,2021-12-27,OR,6809662,3117531,73.9,2800149,66.4
247,2021-12-27,NJ,15218805,7388786,83.2,6240927,70.3
248,2021-12-27,WI,8989350,3953818,67.9,3594180,61.7
249,2021-12-27,VA,14352042,6723892,78.8,5791790,67.9
250,2021-12-27,CO,9408982,4275676,74.2,3800136,66.0
251,2021-12-27,MH,48093,26082,33.5,22893,29.4
252,2021-12-27,VA2,6922662,3325418,0.0,2908946,0.0
253,2021-12-27,DD2,6868245,3826121,0.0,2867210,0.0
254,2021-12-27,RP,36858,18745,87.1,16468,76.5
255,2021-12-27,UT,4416663,2147946,67.0,1873441,58.4
256,2021-12-26,VA,14332627,6719709,78.7,5788915,67.8
257,2021-12-26,CO,9404407,4274399,74.2,3799219,66.0
258,2021-12-26,KY,5886752,2782685,62.3,2416272,54.1
259,2021-12-26,MD,10410442,4838219,80.0,4243200,70.2
260,2021-12-26,OH,15563209,7026940,60.1,6425774,55.0
261,2021-12-26,NV,4225484,2126525,69.0,1731119,56.2
262,2021-12-26,RI,2013912,933460,88.1,806078,76.1
263,2021-12-26,IL,19766011,9099845,71.8,8107313,64.0
264,2021-12-26,IH2,2008739,1022681,49.1,815285,39.1
265,2021-12-26,UT,4416474,2147841,67.0,1873412,58.4
266,2021-12-26,KS,4108238,2006451,68.9,1652118,56.7
267,2021-12-26,NC,14666819,7956372,75.9,5935498,56.6
268,2021-12-26,GA,13122907,6442477,60.7,5377799,50.7
269,2021-12-26,TN,8658318,3994186,58.5,3494682,51.2
270,2021-12-26,GU,291867,140431,83.3,126587,75.1
271,2021-12-26,US,502788687,242235943,73.0,205085244,61.8
272,2021-12-26,PA,19939235,9928873,77.6,8137604,63.6
273,2021-12-26,MA,12936904,6220610,90.3,5128387,74.4
274,2021-12-26,NM,3532640,1685284,80.4,1384811,66.0
275,2021-12-26,NE,2823959,1276516,66.0,1151416,59.5
276,2021-12-26,MN,9045953,4011913,71.1,3676018,65.2
277,2021-12-26,MH,48093,26082,33.5,22893,29.4
278,2021-12-26,NY,33867387,16217102,83.4,13909728,71.5
279,2021-12-26,CT,6603496,3145004,88.2,2654740,74.5
280,2021-12-26,NH,2354563,1323053,95.0,911058,67.0
281,2021-12-26,MT,1432462,660779,61.8,575641,53.9
282,2021-12-26,WA,12503554,5737684,75.3,5154915,67.7
283,2021-12-26,OK,5191468,2592033,65.5,2105170,53.2
284,2021-12-26,WY,676799,321831,55.6,273922,47.3
